Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Mudhukulathur,18,DEVA SITHAM.I,Independent,199,5,204,0.09
Mudhukulathur,19,S.PRABAKARAN,Independent,546,2,548,0.25
Mudhukulathur,20,K.MURUGAN,Independent,327,0,327,0.15
Mudhukulathur,21,P.MURUGAN,Independent,92,1,93,0.04
Mudhukulathur,22,E.MOHAN,Independent,82,0,82,0.04
Mudhukulathur,23,K.RAJAKUMAR,Independent,109,0,109,0.05
Mudhukulathur,24,NOTA,None of the Above,521,2,523,0.24
Musiri,1,Kumar.K.S,Desiya Murpokku Dravida Kazhagam,3153,29,3182,1.77
Musiri,2,M. Selvarasu,All India Anna Dravida Munnetra Kazhagam,63179,609,63788,35.5
Musiri,3,N. Thiyagarajan,Dravida Munnetra Kazhagam,88487,2137,90624,50.43
Musiri,4,V. Bernardshaw,Bahujan Samaj Party,458,0,458,0.25
Musiri,5,S. Gokul,Makkal Needhi Maiam,2467,32,2499,1.39
Musiri,6,Gautham. S,Rashtriya Samaj Paksha,251,2,253,0.14
Musiri,7,D. Dharmalingam,Samaniya Makkal Nala Katchi,109,1,110,0.06
Musiri,8,Sridevi Ilangovan,Naam Tamilar Katchi,14207,104,14311,7.96
Musiri,9,N. Aravan,Independent,108,0,108,0.06
Musiri,10,R. Anandhan,Independent,103,1,104,0.06
Musiri,11,Devanur Karthick,Independent,227,0,227,0.13
Musiri,12,Shanmugam,Independent,361,2,363,0.2
Musiri,13,"A.Chandran. M.Sc.,",Independent,174,1,175,0.1
Musiri,14,N. Saminathan,Independent,313,4,317,0.18
Musiri,15,N. Sivakumar,Independent,513,0,513,0.29
Musiri,16,T. Senthil Kumar,Independent,497,0,497,0.28
Musiri,17,V. Natarajan,Independent,164,0,164,0.09
Musiri,18,T. Periyathambi,Independent,462,1,463,0.26
Musiri,19,R. Michael,Independent,297,0,297,0.17
Musiri,20,"P. Loganathan. M.sc.,",Independent,160,1,161,0.09
Musiri,21,NOTA,None of the Above,1081,11,1092,0.61
Mylapore,1,NATARAJ.R,All India Anna Dravida Munnetra Kazhagam,55466,293,55759,36.34
Mylapore,2,BALAJI,Bahujan Samaj Party,410,3,413,0.27
Mylapore,3,VELU.DHA,Dravida Munnetra Kazhagam,67919,473,68392,44.58
Mylapore,4,KARTHICK.D,Amma Makkal Munnettra Kazagam,1113,5,1118,0.73
Mylapore,5,SENTHIL KUMAR.D,Anaithu Makkal Arasiyal Katchi,82,0,82,0.05
Mylapore,6,MAHALAKSHMI.K,Naam Tamilar Katchi,10098,26,10124,6.6
Mylapore,7,MOHANRAJ.J,Jebamani Janata,113,0,113,0.07
Mylapore,8,SRIPRIYA,Makkal Needhi Maiam,14850,54,14904,9.71
Mylapore,9,ARUNRAJ BALAN,Independent,76,0,76,0.05
Mylapore,10,KAJENDRAN.M,Independent,35,3,38,0.02
Mylapore,11,KUPPUSWAMY.T.M,Independent,26,0,26,0.02
Mylapore,12,SHANMUGARAJAN B,Independent,35,0,35,0.02
Mylapore,13,SELVAKUMAR,Independent,112,0,112,0.07
Mylapore,14,NATARAJAN P,Independent,127,2,129,0.08
Mylapore,15,NANDAGOPAL.G,Independent,85,2,87,0.06
Mylapore,16,NALLAPPAN.G,Independent,181,0,181,0.12
Mylapore,17,PASUPATHI PRAGALATHAN,Independent,117,0,117,0.08
Mylapore,18,MALAR KANNAN.R,Independent,29,0,29,0.02
Mylapore,19,RANGARAJAN.R,Independent,93,0,93,0.06
Mylapore,20,RADHA M (TRANSGENDER),Independent,203,0,203,0.13
Mylapore,21,VARATHARAJAN.V.S,Independent,49,1,50,0.03
Mylapore,22,V. VIJAYA KRISHNA,Independent,38,0,38,0.02
Mylapore,23,VENKATESH,Independent,24,0,24,0.02
Mylapore,24,NOTA,None of the Above,1279,8,1287,0.84
Nagapattinam,1,Thanka.kathiravan,All India Anna Dravida Munnetra Kazhagam,58729,314,59043,41.13
Nagapattinam,2,S.Augustine Arputharaj,Naam Tamilar Katchi,9931,45,9976,6.95
Nagapattinam,3,T. Singaravadivelan,Shiv Sena,105,0,105,0.07
Nagapattinam,4,Syed Anas Mohideen Sahip,Makkal Needhi Maiam,2523,17,2540,1.77
Nagapattinam,5,J.V. Durai,Makkalatchi Katchi,96,2,98,0.07
Nagapattinam,6,C.Manjula,Amma Makkal Munnettra Kazagam,3457,46,3503,2.44
Nagapattinam,7,Mayilarasi,Naadaalum Makkal Katchi,256,0,256,0.18
Nagapattinam,8,J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,65587,694,66281,46.17
Nagapattinam,9,V. Canagaradjou,Independent,208,1,209,0.15
Nagapattinam,10,Durai. Selvakumar,Independent,110,3,113,0.08
Nagapattinam,11,N P Bhashgaran,Independent,180,4,184,0.13
Nagapattinam,12,S. Prem,Independent,105,0,105,0.07
Nagapattinam,13,V. Manikandan,Independent,252,0,252,0.18
Nagapattinam,14,NOTA,None of the Above,893,2,895,0.62
Nagercoil,1,Gandhi M.R.,Bharatiya Janata Party,87805,999,88804,48.21
Nagercoil,2,Suresh Rajan N.,Dravida Munnetra Kazhagam,75387,1748,77135,41.88
Nagercoil,3,Ammu Anto I.,Amma Makkal Munnettra Kazagam,1079,15,1094,0.59
Nagercoil,4,Satheesh Kumar D.,Anaithu Makkal Arasiyal Katchi,70,0,70,0.04
Nagercoil,5,Sunil Kumar S.,Anaithu Makkal Puratchi Katchi,314,1,315,0.17
Nagercoil,6,Maria Jacob Stani Raja S.,Makkal Needhi Maiam,4007,30,4037,2.19
Nagercoil,7,Vijayaragavan,Naam Tamilar Katchi,10666,87,10753,5.84
Nagercoil,8,Usha P.,Independent,132,2,134,0.07
Nagercoil,9,Kannan M.,Independent,102,1,103,0.06
Nagercoil,10,Gandhi L.,Independent,73,0,73,0.04
Nagercoil,11,Gandhi Raj C.,Independent,182,1,183,0.1
Nagercoil,12,Bala Sivanesan J.,Independent,238,4,242,0.13
Nagercoil,13,Pravin Raj P.,Independent,97,0,97,0.05
Nagercoil,14,Mahizhchi P.,Independent,80,1,81,0.04
Nagercoil,15,Rathinam A.T.,Independent,133,1,134,0.07
Nagercoil,16,NOTA,None of the Above,919,11,930,0.5
Namakkal,1,RAMASAMY P,Bahujan Samaj Party,254,7,261,0.13
Namakkal,2,SARAVANAN A,National People's Party,130,2,132,0.06
Namakkal,3,SELVI K,Desiya Murpokku Dravida Kazhagam,960,12,972,0.47
Namakkal,4,BASKAR K.P.P.,All India Anna Dravida Munnetra Kazhagam,77043,1590,78633,38.03
Namakkal,5,RAMALINGAM P,Dravida Munnetra Kazhagam,103480,3014,106494,51.51
Namakkal,6,ADHAM FAROOK S,Makkal Needhi Maiam,5530,59,5589,2.7
Namakkal,7,RAMESH T,Ahimsa Socialist Party,307,6,313,0.15
Namakkal,8,KANAKARAJ K,Ganasangam Party of India,169,6,175,0.08
Namakkal,9,SARAVANAN S,Naadaalum Makkal Katchi,57,1,58,0.03
Namakkal,10,SIVAKUMAR D,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,76,2,78,0.04
Namakkal,11,SELVAKUMAR E,Manitha Urimaigal Kalaagam,144,5,149,0.07
Namakkal,12,TAMIZHVANAN K,Tamilaga Makkal Thannurimai Katchi,428,5,433,0.21
Namakkal,13,THIYAGARAJAN R,Samaniya Makkal Nala Katchi,189,4,193,0.09
Namakkal,14,BASKAR B,Naam Tamilar Katchi,10008,114,10122,4.9
Namakkal,15,MADHESWARAN A.S,My India Party,113,1,114,0.06
Namakkal,16,ARUL SELVAN,Independent,287,4,291,0.14
Namakkal,17,ANBUMANI,Independent,220,3,223,0.11
Namakkal,18,KUPPUSAMY M,Independent,43,2,45,0.02
Namakkal,19,SURESH KUMAR L,Independent,104,3,107,0.05
Namakkal,20,SELVAKUMAR R,Independent,197,1,198,0.1
Namakkal,21,CHO V,Independent,252,1,253,0.12
Namakkal,22,DEEPAN CHAKKRAVARTHI S,Independent,247,2,249,0.12
Namakkal,23,MUTHUSAMY S,Independent,84,3,87,0.04
Namakkal,24,RAMALINGAM K,Independent,114,4,118,0.06
Namakkal,25,JAWAHAR,Independent,85,1,86,0.04
Namakkal,26,JAYARAMACHANDRAN P,Independent,100,1,101,0.05
Namakkal,27,NOTA,None of the Above,1266,19,1285,0.62
Nanguneri,1,GANESARAJA,All India Anna Dravida Munnetra Kazhagam,59045,371,59416,30.86
Nanguneri,2,SUBBULAKSHMI,Bahujan Samaj Party,697,3,700,0.36
Nanguneri,3,RUBY R MANOHARAN,Indian National Congress,74493,1409,75902,39.43
Nanguneri,4,KANDHAN,Anaithu Ulaga Tamilargal Munnetra Kalagam,495,2,497,0.26
Nanguneri,5,SHUNMUGA SUNDARAM,Naam Indiar Party,441,0,441,0.23
Nanguneri,6,PARAMASIVA IYYAPPAN,Amma Makkal Munnettra Kazagam,31708,162,31870,16.55
Nanguneri,7,PRABAKARAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,429,1,430,0.22
Nanguneri,8,VEERAPANDI,Naam Tamilar Katchi,17543,111,17654,9.17
Nanguneri,9,ASHOK KUMAR,Independent,619,6,625,0.32
Nanguneri,10,KATHIRAVAN,Independent,1151,3,1154,0.6
Nanguneri,11,KANDASAMY,Independent,428,4,432,0.22
Nanguneri,12,GNANA BALAJI,Independent,806,7,813,0.42
Nanguneri,13,MUTHUDURAI,Independent,160,1,161,0.08
Nanguneri,14,MUTHURAJ,Independent,434,2,436,0.23
Nanguneri,15,LENIN,Independent,449,5,454,0.24
Nanguneri,16,NOTA,None of the Above,1531,6,1537,0.8
Nannilam,1,KAMARAJ R,All India Anna Dravida Munnetra Kazhagam,103236,401,103637,46.7
Nannilam,2,RAVICHANDRAN  R,Bahujan Samaj Party,711,0,711,0.32
Nannilam,3,JOTHIRAMAN  S,Dravida Munnetra Kazhagam,98409,804,99213,44.7
Nannilam,4,RAMACHANDRAN   N,Amma Makkal Munnettra Kazagam,2070,6,2076,0.94
Nannilam,5,GANESAN  D,Indiya Jananayaka Katchi,379,2,381,0.17
Nannilam,6,NITHIYANANTHAM  S,Anaithu Makkal Arasiyal Katchi,81,0,81,0.04
Nannilam,7,PANASAIARAGAN K N,Desiya Makkal Sakthi Katchi,111,0,111,0.05
Nannilam,8,FATHIMA FARHANA  S,Naam Tamilar Katchi,13377,42,13419,6.05
Nannilam,9,MURUGAVEL  M,Anna Dravidar Kazhagam,163,1,164,0.07
Nannilam,10,ANUSHA  T,Independent,203,3,206,0.09
Nannilam,11,KRISHNAN  K,Independent,46,1,47,0.02
Nannilam,12,KUMARAN  R,Independent,77,1,78,0.04
Nannilam,13,TAMILSELVAN  R,Independent,153,0,153,0.07
Nannilam,14,NATARAJAN  C,Independent,352,0,352,0.16
Nannilam,15,RAJA S,Independent,125,0,125,0.06
Nannilam,16,NOTA,None of the Above,1188,2,1190,0.54
Natham,1,M.A.ANDI AMBALAM,Dravida Munnetra Kazhagam,94968,862,95830,42.54
Natham,2,P.ANDISAMY,Bahujan Samaj Party,676,2,678,0.3
Natham,3,NATHAM.R.VISWANATHAN,All India Anna Dravida Munnetra Kazhagam,107255,507,107762,47.84
Natham,4,R.A.SARANRAJ,Indiya Jananayaka Katchi,1019,6,1025,0.46
Natham,5,DOCTOR.V.SIVASANKARAN,Naam Tamilar Katchi,14673,89,14762,6.55
Natham,6,N.RAJA,Amma Makkal Munnettra Kazagam,1713,8,1721,0.76
Natham,7,V.VEMBARASAN,My India Party,164,2,166,0.07
Natham,8,A.KARNAN,Independent,335,0,335,0.15
Natham,9,C.GURUSAMY,Independent,95,1,96,0.04
Natham,10,M.XAVIER JOSEPH KENNEDY,Independent,189,5,194,0.09
Natham,11,K.DHANDAPANI,Independent,321,1,322,0.14
Natham,12,A.BALASUBRAMANI,Independent,112,0,112,0.05
Natham,13,K.MURUGESAN,Independent,224,0,224,0.1
Natham,14,S.JEYAKUMAR,Independent,383,0,383,0.17
Natham,15,JEYAPAUL R,Independent,190,0,190,0.08
Natham,16,NOTA,None of the Above,1438,6,1444,0.64
Neyveli,1,KANAGARAJI.C,Bahujan Samaj Party,450,5,455,0.28
Neyveli,2,SABA.RAJENDRAN,Dravida Munnetra Kazhagam,74189,988,75177,45.8
Neyveli,3,ILANGOVAN.R,Indiya Jananayaka Katchi,1006,5,1011,0.62
Neyveli,4,BAKTHARATCHAGAN.R,Amma Makkal Munnettra Kazagam,2221,9,2230,1.36
Neyveli,5,RAMESH.K,Naam Tamilar Katchi,7763,22,7785,4.74
Neyveli,6,JAGAN.K,Pattali Makkal Katchi,73544,656,74200,45.21
Neyveli,7,DHANASEKARAN.S,Independent,333,1,334,0.2
Neyveli,8,DHILIBAN.U,Independent,392,0,392,0.24
Neyveli,9,DHURGA.K,Independent,204,5,209,0.13
Neyveli,10,BOOBALAN.E,Independent,91,0,91,0.06
Neyveli,11,RAJENDRAN .B,Independent,552,4,556,0.34
Neyveli,12,VADUGANATHAN.R,Independent,519,0,519,0.32
Neyveli,13,NOTA,None of the Above,1164,7,1171,0.71
Nilakkottai,1,K.Ramasamy,Desiya Murpokku Dravida Kazhagam,3684,20,3704,2
Nilakkottai,2,S.Thenmozhi,All India Anna Dravida Munnetra Kazhagam,90857,604,91461,49.49
Nilakkottai,3,P.Nagendran,Bahujan Samaj Party,664,2,666,0.36
Nilakkottai,4,K.Murugavelrajan,Dravida Munnetra Kazhagam,62593,1250,63843,34.55
Nilakkottai,5,V.K.Aiyyar,Puthiya Tamilagam,478,6,484,0.26
Nilakkottai,6,Ananth,Makkal Needhi Maiam,3146,35,3181,1.72
Nilakkottai,7,V.Revadhi,My India Party,155,3,158,0.09
Nilakkottai,8,G.Vasanthadevi,Naam Tamilar Katchi,17363,142,17505,9.47
Nilakkottai,9,A.Alappan,Independent,340,3,343,0.19
Nilakkottai,10,M.Kalimuthu,Independent,61,0,61,0.03
Nilakkottai,11,P.Sivakami,Independent,76,1,77,0.04
Nilakkottai,12,P.Nagajothi,Independent,511,4,515,0.28
Nilakkottai,13,S.Nithya,Independent,126,2,128,0.07
Nilakkottai,14,M.Pandi,Independent,135,2,137,0.07
Nilakkottai,15,V.Balasubramani,Independent,163,1,164,0.09
Nilakkottai,16,N.Perumal,Independent,252,0,252,0.14
Nilakkottai,17,P.Pothumanickam,Independent,372,3,375,0.2
Nilakkottai,18,V.Vinoth,Independent,491,0,491,0.27
Nilakkottai,19,NOTA,None of the Above,1248,12,1260,0.68
Oddanchatram,1,SAKKARAPANI R,Dravida Munnetra Kazhagam,108990,980,109970,54.51
Oddanchatram,2,SIVA KUMAR M,Desiya Murpokku Dravida Kazhagam,1417,10,1427,0.71
Oddanchatram,3,NATARAJ N.P,All India Anna Dravida Munnetra Kazhagam,80819,409,81228,40.26
Oddanchatram,4,MURUGARAJ P,Bahujan Samaj Party,527,2,529,0.26
Oddanchatram,5,ABDUL HADI A,Makkal Needhi Maiam,1069,13,1082,0.54
Oddanchatram,6,SAKTHI DEVI T,Naam Tamilar Katchi,4892,52,4944,2.45
Oddanchatram,7,RAVI M,Anaithu Makkal Puratchi Katchi,61,0,61,0.03
Oddanchatram,8,RAVICHANDRAN K,My India Party,52,0,52,0.03
Oddanchatram,9,SHANMUGAVEL P,Independent,40,0,40,0.02
Oddanchatram,10,SIVAPRAKASH S,Independent,44,0,44,0.02
Oddanchatram,11,SIVANESAN K,Independent,59,0,59,0.03
Oddanchatram,12,CHELLAMUTHU K,Independent,100,0,100,0.05
Oddanchatram,13,BALASUBRAMANI S,Independent,356,0,356,0.18
Oddanchatram,14,MARIMUTHU T.S,Independent,406,1,407,0.2
Oddanchatram,15,NOTA,None of the Above,1451,6,1457,0.72
Omalur,1,N.V.THOMAS,Bahujan Samaj Party,804,8,812,0.33
Omalur,2,R.MANI,All India Anna Dravida Munnetra Kazhagam,141527,961,142488,57.22
Omalur,3,RANGARAJAN MOHAN KUMARAMANGALAM,Indian National Congress,85826,1368,87194,35.01
Omalur,4,M.KARUNAKARAN,Tamil Nadu Ilangyar Katchi,1204,24,1228,0.49
Omalur,5,V.SRINIVASAN,Makkal Needhi Maiam,2888,42,2930,1.18
Omalur,6,S.DHIVYA,Dhesiya Makkal Kazhagam,277,4,281,0.11
Omalur,7,K.K.MADHESWARAN,Amma Makkal Munnettra Kazagam,1188,14,1202,0.48
Omalur,8,A.RAJA,Naam Tamilar Katchi,9341,75,9416,3.78
Omalur,9,K.GOVINDARAJU,Independent,116,2,118,0.05
Omalur,10,T.SURESH,Independent,104,0,104,0.04
Omalur,11,E.MANI,Independent,104,7,111,0.04
Omalur,12,S.MANI,Independent,144,5,149,0.06
Omalur,13,R.MANI,Independent,282,2,284,0.11
Omalur,14,R.MURUGAN,Independent,676,0,676,0.27
Omalur,15,P.RAJA,Independent,433,1,434,0.17
Omalur,16,NOTA,None of the Above,1581,19,1600,0.64
Orathanadu,1,"RAMCHANDRAN, M.",Dravida Munnetra Kazhagam,60471,757,61228,31.92
Orathanadu,2,"VAITHILINGAM, R.",All India Anna Dravida Munnetra Kazhagam,89516,547,90063,46.95
Orathanadu,3,"STALIN, R.",Bahujan Samaj Party,550,0,550,0.29
Orathanadu,4,"KANDHASAMY, M.",Naam Tamilar Katchi,9013,37,9050,4.72
Orathanadu,5,"SEKAR, M.",Amma Makkal Munnettra Kazagam,25854,168,26022,13.56
Orathanadu,6,"THANRAJ, R.",United States of India Party,229,0,229,0.12
Orathanadu,7,"PRABAKARAN, U.",Anaithu Makkal Puratchi Katchi,99,0,99,0.05
Orathanadu,8,"RENGASAMY, G.",Makkal Needhi Maiam,709,12,721,0.38
Orathanadu,9,"ARUNKUMAR, K.",Independent,220,3,223,0.12
Orathanadu,10,"MOOKKAIYAN, V.",Independent,2031,10,2041,1.06
Orathanadu,11,"RENGARAJ, S.",Independent,317,2,319,0.17
Orathanadu,12,"JAYASOORIYAN, T.",Independent,428,0,428,0.22
Orathanadu,13,NOTA,None of the Above,861,6,867,0.45
Ottapidaram,1,ARUMUGANAINAR S,Desiya Murpokku Dravida Kazhagam,5276,51,5327,3
Ottapidaram,2,SHUNMUGAIAH C,Dravida Munnetra Kazhagam,71605,1505,73110,41.11
Ottapidaram,3,MOHAN P,All India Anna Dravida Munnetra Kazhagam,63907,693,64600,36.32
Ottapidaram,4,ARUNADEVI R,Indiya Jananayaka Katchi,1890,23,1913,1.08
Ottapidaram,5,Dr.K.KRISHNASAMY,Puthiya Tamilagam,6418,126,6544,3.68
Ottapidaram,6,MAHARAJAN A,Bahujan Dravida Party,155,2,157,0.09
Ottapidaram,7,MURUGAN P,Naam Indiar Party,517,3,520,0.29
Ottapidaram,8,VAIKUNDAMARI M,Naam Tamilar Katchi,22104,309,22413,12.6
Ottapidaram,9,ELAMBIRAI MANIMARAN P,Independent,148,4,152,0.09
Ottapidaram,10,GANESHKUMAR M,Independent,83,1,84,0.05
Ottapidaram,11,KARUPPARAJA,Independent,84,2,86,0.05
Ottapidaram,12,GUNASEKARAN,Independent,97,3,100,0.06
Ottapidaram,13,SASI MURUGAN C,Independent,133,0,133,0.07
Ottapidaram,14,SAMUTHIRAM P,Independent,396,3,399,0.22
Ottapidaram,15,M.A.DHARMAR,Independent,318,2,320,0.18
Ottapidaram,16,RAJ V,Independent,315,1,316,0.18
Ottapidaram,17,VELMURUGAN,Independent,98,0,98,0.06
Ottapidaram,18,NOTA,None of the Above,1540,28,1568,0.88
Padmanabhapuram,1,"Mano Thangaraj, T.",Dravida Munnetra Kazhagam,86193,1551,87744,51.57
Padmanabhapuram,2,"Latha, P.",Bahujan Samaj Party,1253,19,1272,0.75
Padmanabhapuram,3,"John Thankam, D.",All India Anna Dravida Munnetra Kazhagam,60100,759,60859,35.77
Padmanabhapuram,4,Seelan,Naam Tamilar Katchi,13709,190,13899,8.17
Padmanabhapuram,5,"Jenkins, D.",Amma Makkal Munnettra Kazagam,3192,42,3234,1.9
Padmanabhapuram,6,"Jeyaraj, M.",Makkal Needhi Maiam,962,19,981,0.58
Padmanabhapuram,7,"Anchalose, Y.",Independent,55,0,55,0.03
Padmanabhapuram,8,"Glory Selvi, T.",Independent,262,9,271,0.16
Padmanabhapuram,9,"SyedAli, A.",Independent,321,3,324,0.19
Padmanabhapuram,10,"Nagarajan, M.",Independent,128,1,129,0.08
Padmanabhapuram,11,"Mathan, F.",Independent,173,4,177,0.1
Padmanabhapuram,12,"Robert Singh, I.",Independent,175,0,175,0.1
Padmanabhapuram,13,NOTA,None of the Above,1023,13,1036,0.61
Palacode,1,HARI.R.,Bahujan Samaj Party,580,5,585,0.28
Palacode,2,ANBALAGAN.K.P.,All India Anna Dravida Munnetra Kazhagam,109105,965,110070,53.28
Palacode,3,MURUGAN.P.K.,Dravida Munnetra Kazhagam,81035,935,81970,39.68
Palacode,4,VIJAYASANKAR.P.,Desiya Murpokku Dravida Kazhagam,2394,15,2409,1.17
Palacode,5,KALAISELVI.G.,Naam Tamilar Katchi,7647,57,7704,3.73
Palacode,6,RAJASEKAR.D.,Makkal Needhi Maiam,1168,8,1176,0.57
Palacode,7,ANBARASU.D.,Independent,79,1,80,0.04
Palacode,8,SHARAVANAN.M.P.,Independent,90,0,90,0.04
Palacode,9,MURUGAN.K.,Independent,115,5,120,0.06
Palacode,10,MURUGAN.K.G.,Independent,169,0,169,0.08
Palacode,11,RAJKUMAR.T.,Independent,406,0,406,0.2
Palacode,12,VADIVEL.M.,Independent,464,1,465,0.23
Palacode,13,NOTA,None of the Above,1348,3,1351,0.65
Palani,1,SENTHIL KUMAR I.P,Dravida Munnetra Kazhagam,107049,1517,108566,52.86
Palani,2,NACHIMUTHU S,Bahujan Samaj Party,442,1,443,0.22
Palani,3,RAVI MANOHARAN K,All India Anna Dravida Munnetra Kazhagam,77951,559,78510,38.23
Palani,4,SIVABALA MOORTHI K,Akhil Bharat Hindu Mahasabha,598,3,601,0.29
Palani,5,THANGAVEL B,My India Party,76,1,77,0.04
Palani,6,POOVENDHAN T,Makkal Needhi Maiam,3669,63,3732,1.82
Palani,7,VINOTH RAJASEKARAN G,Naam Tamilar Katchi,7563,93,7656,3.73
Palani,8,VEERAKUMAR V,Amma Makkal Munnettra Kazagam,2231,24,2255,1.1
Palani,9,AZHAGUMALAI A,Independent,43,0,43,0.02
Palani,10,ANANTHAN S. P,Independent,92,0,92,0.04
Palani,11,KARUPPUSAMY P,Independent,37,1,38,0.02
Palani,12,KALIAPPAN K,Independent,47,2,49,0.02
Palani,13,SHAHUL HAMEED,Independent,147,2,149,0.07
Palani,14,SAMIAPPA GOUNDER P,Independent,195,0,195,0.09
Palani,15,SIDDIQ M,Independent,110,0,110,0.05
Palani,16,SUDHA R B,Independent,520,2,522,0.25
Palani,17,SURESH M,Independent,462,0,462,0.22
Palani,18,THANGAVEL A,Independent,58,0,58,0.03
Palani,19,NAGENDRAN G,Independent,308,2,310,0.15
Palani,20,PANDEESWARAN M,Independent,68,0,68,0.03
Palani,21,PERIYADURAI M,Independent,94,1,95,0.05
Palani,22,MUNISHRAJA M,Independent,73,0,73,0.04
Palani,23,RASULBEEVI SAHABUDEEN,Independent,64,0,64,0.03
Palani,24,LATHIKA,Independent,105,1,106,0.05
Palani,25,NOTA,None of the Above,1088,22,1110,0.54
Palayamkottai,1,ABDUL WAHAB .M,Dravida Munnetra Kazhagam,86869,2248,89117,55.32
Palayamkottai,2,GERALD .G,All India Anna Dravida Munnetra Kazhagam,36393,583,36976,22.95
Palayamkottai,3,FATHIMA .A,Naam Tamilar Katchi,11515,150,11665,7.24
Palayamkottai,4,PREMNATH. D,Makkal Needhi Maiam,8002,105,8107,5.03
Palayamkottai,5,MOHAMED MUBARAK .V.M.S.,SOCIAL DEMOCRATIC PARTY OF INDIA,12126,115,12241,7.6
Palayamkottai,6,RAJA .S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,294,4,298,0.18
Palayamkottai,7,VEERASUBRAMANIYAN .S,Aanaithinthiya Jananayaka Pathukappu Kazhagam,226,5,231,0.14
Palayamkottai,8,SADAGOPAN .K,Independent,387,8,395,0.25
Palayamkottai,9,LEO INFANT RAJ .M,Independent,195,7,202,0.13
Palayamkottai,10,JOHN SAMUVEL JESUPATHAM .D,Independent,209,3,212,0.13
Palayamkottai,11,NOTA,None of the Above,1620,27,1647,1.02
Palladam,1,ANNADURAI R,Bahujan Samaj Party,607,3,610,0.23
Palladam,2,ANANDAN M S M,All India Anna Dravida Munnetra Kazhagam,126437,466,126903,48.53
Palladam,3,MUTHURATHINAM K,Dravida Munnetra Kazhagam,93216,996,94212,36.03
Palladam,4,ANTONY MARIARAJ A,Tamil Nadu Ilangyar Katchi,530,0,530,0.2
Palladam,5,UMANATH R,United States of India Party,307,2,309,0.12
Palladam,6,SIVAKUMAR G,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,162,0,162,0.06
Palladam,7,SUBRAMANIAN S,Naam Tamilar Katchi,20470,54,20524,7.85
Palladam,8,THINAKARAN K,Anna Dravidar Kazhagam,130,0,130,0.05
Palladam,9,MAYILSAMY G,Makkal Needhi Maiam,10195,32,10227,3.91
Palladam,10,JOTHIMANI R,Amma Makkal Munnettra Kazagam,2606,12,2618,1
Palladam,11,SHAHUL HAMEED M,Independent,86,0,86,0.03
Palladam,12,SARATHA T,Independent,112,0,112,0.04
Palladam,13,THANGARAJ A,Independent,212,3,215,0.08
Palladam,14,THUYAMANI R,Independent,690,3,693,0.26
Palladam,15,MARUTHASALAM V,Independent,365,0,365,0.14
Palladam,16,MUTHURATHINAM M,Independent,720,2,722,0.28
Palladam,17,MUTHURATHINAM L,Independent,171,0,171,0.07
Palladam,18,MURUGESAN K,Independent,584,3,587,0.22
Palladam,19,RAMESH V,Independent,314,1,315,0.12
Palladam,20,VIJIYAKUMAR M,Independent,214,4,218,0.08
Palladam,21,NOTA,None of the Above,1793,9,1802,0.69
Pallavaram,1,RAJENDRAN,All India Anna Dravida Munnetra Kazhagam,88312,334,88646,33.3
Pallavaram,2,KARUNANITHI,Dravida Munnetra Kazhagam,125705,722,126427,47.49
Pallavaram,3,KARTHICK,Bahujan Samaj Party,519,0,519,0.19
Pallavaram,4,MURUGESAN,Desiya Murpokku Dravida Kazhagam,3713,5,3718,1.4
Pallavaram,5,AJITHKUMAR,Puthiya Tamilagam,200,2,202,0.08
Pallavaram,6,KUMAR,Anna MGR Dravida Makkal Kalgam,58,1,59,0.02
Pallavaram,7,GOKULKRISHNAN,Tamil Nadu Ilangyar Katchi,430,2,432,0.16
Pallavaram,8,SASIKUMAR LAKSHMIPATHY,National Democratic Party of South India,84,1,85,0.03
Pallavaram,9,SATHYASEELAN,Lok Jan Shakti Party,232,2,234,0.09
Pallavaram,10,SENTHIL KUMAR,Makkal Needhi Maiam,20567,45,20612,7.74
Pallavaram,11,SERMA SELVARAJ,Desiya Makkal Sakthi Katchi,525,0,525,0.2
Pallavaram,12,MINISHREE KANAGARAJ,Naam Tamilar Katchi,21322,40,21362,8.02
Pallavaram,13,VEERALAKSHMI,My India Party,171,0,171,0.06
Pallavaram,14,SRIDHARAN,Dravida Murpokku Makkal Katchi,69,0,69,0.03
Pallavaram,15,KANAGARAJ,Independent,133,0,133,0.05
Pallavaram,16,KUMARA DOSS,Independent,274,0,274,0.1
Pallavaram,17,SADAM HUSSAIN,Independent,266,1,267,0.1
Pallavaram,18,BALAJI,Independent,166,1,167,0.06
Pallavaram,19,BHASKARAN,Independent,40,1,41,0.02
Pallavaram,20,PERUMAL,Independent,86,0,86,0.03
Pallavaram,21,MICHAEL,Independent,124,0,124,0.05
Pallavaram,22,RAMACHANDRAN.R,Independent,96,0,96,0.04
Pallavaram,23,NOTA,None of the Above,1935,10,1945,0.73
